Centro,Grupo,Hombres RE,%HRE,Mujeres RE,%MRE,Hombres NRE,%HNRE,Mujeres NRE,%MNRE,Hombres T,Mujeres T,Alumnos RE,%ARE,Alumnos NRE,%ANRE,Alumnos T
Alagón,1,1,14.29%,5,45.45%,6,85.71%,6,54.55%,7,11,6,33.33%,12,66.67%,18
Alagón,2,5,71.43%,2,16.67%,2,28.57%,10,83.33%,7,12,7,36.84%,12,63.16%,19
Alagón,3,0,0.00%,0,0.00%,3,100.00%,1,100.00%,3,1,0,0.00%,4,100.00%,4
Carium,1,5,62.50%,4,44.44%,3,37.50%,5,55.56%,8,9,9,52.94%,8,47.06%,17
Carium,2,2,28.57%,5,55.56%,5,71.43%,4,44.44%,7,9,7,43.75%,9,56.25%,16
Carium,3,2,50.00%,2,33.33%,2,50.00%,4,66.67%,4,6,4,40.00%,6,60.00%,10
Cella Vinaria,1,6,50.00%,4,44.44%,6,50.00%,5,55.56%,12,9,10,47.62%,11,52.38%,21
Valles de Gata,1,3,42.86%,1,16.67%,4,57.14%,5,83.33%,7,6,4,30.77%,9,69.23%,13
Valles de Gata,2,1,20.00%,0,0.00%,4,80.00%,4,100.00%,5,4,1,11.11%,8,88.89%,9
Valles de Gata,3,0,0.00%,1,25.00%,1,100.00%,3,75.00%,1,4,1,20.00%,4,80.00%,5
Gabriel y Galán,1,6,54.55%,7,87.50%,5,45.45%,1,12.50%,11,8,13,68.42%,6,31.58%,19
Gabriel y Galán,2,4,30.77%,1,12.50%,9,69.23%,7,87.50%,13,8,5,23.81%,16,76.19%,21
Gabriel y Galán,3,6,50.00%,3,33.33%,6,50.00%,6,66.67%,12,9,9,42.86%,12,57.14%,21
Gabriel y Galán,4,2,25.00%,7,70.00%,6,75.00%,3,30.00%,8,10,9,50.00%,9,50.00%,18
Gabriel y Galán,5,2,40.00%,0,0.00%,3,60.00%,2,100.00%,5,2,2,28.57%,5,71.43%,7
Jálama,1,0,0.00%,0,0.00%,7,100.00%,6,100.00%,7,6,0,0.00%,13,100.00%,13
Jálama,2,5,38.46%,2,40.00%,8,61.54%,3,60.00%,13,5,7,38.89%,11,61.11%,18
Jálama,3,5,100.00%,4,30.77%,0,0.00%,9,69.23%,5,13,9,50.00%,9,50.00%,18
Jálama,4,0,0.00%,1,25.00%,2,100.00%,3,75.00%,2,4,1,16.67%,5,83.33%,6
Val de Xálima,1,2,18.18%,6,54.55%,9,81.82%,5,45.45%,11,11,8,36.36%,14,63.64%,22
Val de Xálima,2,0,0.00%,0,0.00%,2,100.00%,3,100.00%,2,3,0,0.00%,5,100.00%,5
Vía Dalmacia,1,9,90.00%,3,25.00%,1,10.00%,9,75.00%,10,12,12,54.55%,10,45.45%,22
Vía Dalmacia,2,5,71.43%,0,0.00%,2,28.57%,1,100.00%,7,1,5,62.50%,3,37.50%,8
Totales,50,71,42.51%,58,35.58%,96,57.49%,105,64.42%,167,163,129,39.09%,201,60.91%,330
,,55.04%,,44.96%,,47.76%,,52.24%,,50.61%,49.39%,39.09%,,60.91%,60.91%,100.00%
,,,,,,,,201,,,330,,,330,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
